datetime,time_min,us_station_obs,ds_station_obs
           2020-09-28 18:04:00,4320,4.05,2.95
           2020-09-28 18:14:00,4330,3.998026431,2.955221094
           2020-09-28 18:24:00,4340,3.944547859,2.964665485
           2020-09-28 18:34:00,4350,3.89,2.97
           2020-09-28 18:44:00,4360,3.834659392,2.965187297
           2020-09-28 18:54:00,4370,3.778165847,2.953373358
           2020-09-28 19:04:00,4380,3.72,2.94
           2020-09-28 19:14:00,4390,3.66037304,2.929585276
           2020-09-28 19:24:00,4400,3.602418383,2.922952194
           2020-09-28 19:34:00,4410,3.55,2.92
           2020-09-28 19:44:00,4420,3.505700301,2.919434563
           2020-09-28 19:54:00,4430,3.466975438,2.915188238
           2020-09-28 20:04:00,4440,3.43,2.9
           2020-09-28 20:14:00,4450,3.391640572,2.869713508
           2020-09-28 20:24:00,4460,3.351531719,2.83259115
           2020-09-28 20:34:00,4470,3.31,2.8
           2020-09-28 20:44:00,4480,3.267367041,2.779859554
           2020-09-28 20:54:00,4490,3.223934724,2.766299013
           2020-09-28 21:04:00,4500,3.18,2.75
           2020-09-28 21:14:00,4510,3.135557932,2.724181608
           2020-09-28 21:24:00,4520,3.089396051,2.692212798
           2020-09-28 21:34:00,4530,3.04,2.66
           2020-09-28 21:44:00,4540,2.986697526,2.632302902
           2020-09-28 21:54:00,4550,2.932184777,2.609294238
           2020-09-28 22:04:00,4560,2.88,2.59
           2020-09-28 22:14:00,4570,2.833207518,2.572903079
           2020-09-28 22:24:00,4580,2.792975952,2.554313953
           2020-09-28 22:34:00,4590,2.76,2.53
           2020-09-28 22:44:00,4600,2.734176106,2.497566264
           2020-09-28 22:54:00,4610,2.71220771,2.461968468
           2020-09-28 23:04:00,4620,2.69,2.43
           2020-09-28 23:14:00,4630,2.664162131,2.406461493
           2020-09-28 23:24:00,4640,2.634119132,2.388182546
           2020-09-28 23:34:00,4650,2.6,2.37
           2020-09-28 23:44:00,4660,2.562508704,2.348069245
           2020-09-28 23:54:00,4670,2.524649096,2.323819866
           2020-09-29 00:04:00,4680,2.49,2.3
           2020-09-29 00:14:00,4690,2.46098824,2.279039306
           2020-09-29 00:24:00,4700,2.435432634,2.262093544
           2020-09-29 00:34:00,4710,2.41,2.25
           2020-09-29 00:44:00,4720,2.382056856,2.242069828
           2020-09-29 00:54:00,4730,2.351768518,2.23150966
           2020-09-29 01:04:00,4740,2.32,2.21
           2020-09-29 01:14:00,4750,2.288191743,2.173051754
           2020-09-29 01:24:00,4760,2.260085887,2.131497445
           2020-09-29 01:34:00,4770,2.24,2.1
           2020-09-29 01:44:00,4780,2.229620618,2.087945379
           2020-09-29 01:54:00,4790,2.220110156,2.083611671
           2020-09-29 02:04:00,4800,2.2,2.07
           2020-09-29 02:14:00,4810,2.161844304,2.035537101
           2020-09-29 02:24:00,4820,2.114288303,1.990352166
           2020-09-29 02:34:00,4830,2.07,1.95
           2020-09-29 02:44:00,4840,2.03855772,1.926202513
           2020-09-29 02:54:00,4850,2.017181076,1.915350034
           2020-09-29 03:04:00,4860,2,1.91
           2020-09-29 03:14:00,4870,1.981702592,1.903726922
           2020-09-29 03:24:00,4880,1.959209616,1.894173623
           2020-09-29 03:34:00,4890,1.93,1.88
           2020-09-29 03:44:00,4900,1.893520799,1.86037128
           2020-09-29 03:54:00,4910,1.857091571,1.836473994
           2020-09-29 04:04:00,4920,1.83,1.81
           2020-09-29 04:14:00,4930,1.817917916,1.782565736
           2020-09-29 04:24:00,4940,1.812053731,1.755485957
           2020-09-29 04:34:00,4950,1.8,1.73
           2020-09-29 04:44:00,4960,1.773326055,1.706773184
           2020-09-29 04:54:00,4970,1.739508321,1.684174769
           2020-09-29 05:04:00,4980,1.71,1.66
           2020-09-29 05:14:00,4990,1.69285194,1.63293412
           2020-09-29 05:24:00,5000,1.682505578,1.605222373
           2020-09-29 05:34:00,5010,1.67,1.58
